0.87582, 2.96817
-0.43316, 1.90121
0.61484, 2.59277
0.87444, -0.35821
-0.56461, 1.66603
0.80757, 0.72163
-0.25338, 2.20935
-0.91036, 1.07764
-0.62973, 0.41792
-1.95381, 2.56240
0.25753, 1.08720
-2.37029, -0.11847
-0.44473, 3.30176
0.57391, 2.74228
-1.39646, 2.30206
0.47879, 1.09768
-1.31956, 2.68679
-1.37615, -0.44743
-0.88886, 0.69209
-2.73587, -0.45633
0.00741, 0.45762
-0.77614, 3.03326
0.65859, 0.50145
0.26712, 2.62929
-1.21445, -0.03267
-0.38769, 2.66463
-2.68615, 0.11177
-0.35451, 2.19490
-2.88430, 0.00806
-0.41049, 1.83507
0.72122, 0.64976
0.47907, 0.41580
-2.75298, -0.25146
-1.84517, 3.27723
-1.06089, 1.40837
0.03207, 2.56934
-0.41516, 1.35710
-0.94605, 2.33391
-2.22468, 2.35855
0.30444, 2.22098
-1.14041, -0.23165
-0.81072, 1.69216
-0.11469, 3.38512
0.74556, -0.35364
-0.15051, 0.55996
-1.62443, 2.50107
-0.09241, 1.40919
0.62666, -0.04233
-0.56213, 3.44704
-2.89635, 2.00121
-0.96408, 2.34087
0.63105, 2.68493
-0.87908, 0.64224
-3.00830, 2.48868
0.20628, 1.11942
-2.98999, 2.23041
-1.67562, -0.23792
0.95024, 2.78908
-2.88486, -0.37459
0.52537, 3.45880
-0.44215, 2.47007
0.91406, 0.37232
-1.55010, 3.06155
-0.04254, 3.28428
-0.51841, -0.43863
0.04778, 2.32791
-0.91958, 2.14511
-0.73574, 0.21882
-0.01786, 0.73220
0.31437, 2.91420
0.88695, 0.92301
0.13338, 0.66916
-0.42807, 0.26452
0.47786, 1.67359
0.67993, 1.04851
0.53647, 3.31587
-0.18933, 2.00933
0.49641, 1.31412
-0.50002, 1.69504
-1.07532, 0.23013
0.13229, 2.32365
0.81917, -0.11294
-1.17131, 1.15658
0.80201, 3.39594
-2.81956, 3.02789
-0.15786, -0.41031
-1.00632, 0.13138
-2.32325, 3.19662
-2.68668, 2.89093
-1.91220, -0.38006
-1.96636, 2.58735
0.81244, 3.44657
-0.49005, 1.23085
-0.95112, 3.51200
0.89524, 0.00183
-2.68593, 2.40547
-1.05401, 2.70235
-1.61869, 0.29470
-0.85038, 0.16593
0.48094, 1.85300
0.89458, 2.95628
0.05258, 1.51200
-2.37380, 0.12533
0.61943, -0.23376
0.69980, 2.20322
-0.90706, -0.06837
-1.34705, 2.32786
0.56296, 0.97614
0.77975, 3.47763
-2.97695, 0.29298
0.01501, 2.80895
0.78904, 1.26472
-0.35573, 0.90719
0.95354, 0.91811
0.31102, 1.62769
-1.11993, 1.05929
-2.08332, -0.01777
-2.83671, 2.95904
